time,position,bar_height,experiment,velocity,acceleration
0.033,0.192,0.166,1,0.0,0.0
0.067,0.192,0.166,1,0.0,0.9182736455463736
0.1,0.192,0.166,1,0.030303030303030328,1.7555231458974787
0.133,0.193,0.166,1,0.08823529411764713,1.861172276397191
0.167,0.196,0.166,1,0.15151515151515163,0.7562253551558122
0.2,0.201,0.166,1,0.17647058823529344,0.1572821642026037
0.234,0.207,0.166,1,0.18181818181818196,2.7548209366391285
0.267,0.213,0.166,1,0.2727272727272732,0.6481931615621318
0.3,0.222,0.166,1,0.29411764705882354,1.1534025374855725
0.334,0.232,0.166,1,0.33333333333333304,2.75482093663913
0.367,0.243,0.166,1,0.42424242424242425,-0.3781126775778986
0.4,0.257,0.166,1,0.4117647058823536,2.149522910768518
0.434,0.271,0.166,1,0.48484848484848314,0.9182736455464503
0.467,0.287,0.166,1,0.515151515151516,-0.45913682277321327
0.5,0.304,0.166,1,0.5,
0.534,0.321,0.166,1,,
4.671,0.192,0.188,2,0.0,1.7825311942958924
4.705,0.192,0.188,2,0.06060606060606,0.9182736455464275
4.738,0.194,0.188,2,0.09090909090909244,1.7015070491006414
4.771,0.197,0.188,2,0.1470588235294127,1.9135996644646114
4.805,0.202,0.188,2,0.21212121212120913,0.7022092583591201
4.838,0.209,0.188,2,0.23529411764706035,3.7747719408617755
4.872,0.217,0.188,2,0.36363636363636,2.7082713176461855e-13
4.905,0.229,0.188,2,0.3636363636363689,2.3497002106623937
4.938,0.241,0.188,2,0.4411764705882267,
4.972,0.256,0.188,2,,
7.374,0.193,0.157,3,0.0,1.7825311942958921
7.407,0.193,0.157,3,0.05882352941176509,1.83495858236339
7.441,0.195,0.157,3,0.12121212121212,0.9182736455464511
7.474,0.199,0.157,3,0.1515151515151532,0.7562253551556922
7.507,0.204,0.157,3,0.17647058823529066,1.0485477613507144
7.541,0.21,0.157,3,0.21212121212121568,1.593474855506911
7.574,0.217,0.157,3,0.2647058823529429,1.1271888434516608
