time,position,bar_height,experiment
0.033,0.192,0.166,1
0.067,0.192,0.166,1
0.1,0.192,0.166,1
0.133,0.193,0.166,1
0.167,0.196,0.166,1
0.2,0.201,0.166,1
0.234,0.207,0.166,1
0.267,0.213,0.166,1
0.3,0.222,0.166,1
0.334,0.232,0.166,1
0.367,0.243,0.166,1
0.4,0.257,0.166,1
0.434,0.271,0.166,1
0.467,0.287,0.166,1
0.5,0.304,0.166,1
0.534,0.321,0.166,1
4.671,0.192,0.188,2
4.705,0.192,0.188,2
4.738,0.194,0.188,2
4.771,0.197,0.188,2
4.805,0.202,0.188,2
4.838,0.209,0.188,2
4.872,0.217,0.188,2
4.905,0.229,0.188,2
4.938,0.241,0.188,2
4.972,0.256,0.188,2
7.374,0.193,0.157,3
7.407,0.193,0.157,3
7.441,0.195,0.157,3
7.474,0.199,0.157,3
7.507,0.204,0.157,3
7.541,0.21,0.157,3
7.574,0.217,0.157,3
7.608,0.226,0.157,3
7.641,0.236,0.157,3
7.674,0.247,0.157,3
7.708,0.260,0.157,3
11.912,0.193,0.129,4
11.945,0.193,0.129,4
11.979,0.194,0.129,4
12.012,0.196,0.129,4
12.045,0.199,0.129,4
12.079,0.203,0.129,4
12.112,0.208,0.129,4
12.145,0.214,0.129,4
12.179,0.22,0.129,4
12.212,0.227,0.129,4
12.246,0.235,0.129,4
12.279,0.244,0.129,4
12.312,0.253,0.129,4
6.74,0.192,0.131,5
6.773,0.192,0.131,5
6.807,0.193,0.131,5
6.84,0.195,0.131,5
6.874,0.198,0.131,5
6.907,0.201,0.131,5
6.94,0.206,0.131,5
6.974,0.211,0.131,5
7.007,0.217,0.131,5
7.04,0.224,0.131,5
7.074,0.232,0.131,5
7.107,0.24,0.131,5
7.14,0.249,0.131,5
2.402,0.193,0.115,6
2.436,0.193,0.115,6
2.469,0.194,0.115,6
2.502,0.195,0.115,6
2.536,0.197,0.115,6
2.569,0.2,0.115,6
2.603,0.204,0.115,6
2.636,0.208,0.115,6
2.669,0.213,0.115,6
2.703,0.218,0.115,6
2.736,0.224,0.115,6
2.769,0.23,0.115,6
2.803,0.237,0.115,6
2.169,0.193,0.1,7
2.202,0.193,0.1,7
2.236,0.194,0.1,7
2.269,0.195,0.1,7
2.302,0.197,0.1,7
2.336,0.199,0.1,7
2.369,0.202,0.1,7
2.402,0.205,0.1,7
2.436,0.208,0.1,7
2.469,0.212,0.1,7
2.502,0.216,0.1,7
2.536,0.22,0.1,7
2.569,0.225,0.1,7
2.603,0.23,0.1,7
2.636,0.235,0.1,7
2.669,0.241,0.1,7
0.334,0.193,0.165,8
0.367,0.193,0.165,8
0.4,0.194,0.165,8
0.434,0.196,0.165,8
0.467,0.2,0.165,8
0.5,0.206,0.165,8
0.534,0.213,0.165,8
0.567,0.221,0.165,8
0.601,0.23,0.165,8
0.634,0.241,0.165,8
0.667,0.253,0.165,8
4.271,0.194,0.126,9
4.304,0.194,0.126,9
4.338,0.195,0.126,9
4.371,0.197,0.126,9
4.404,0.199,0.126,9
4.438,0.203,0.126,9
4.471,0.207,0.126,9
4.505,0.212,0.126,9
4.538,0.217,0.126,9
4.571,0.224,0.126,9
4.605,0.231,0.126,9
4.638,0.239,0.126,9
0.2,0.194,0.127,10
0.234,0.194,0.127,10
0.267,0.195,0.127,10
0.3,0.196,0.127,10
0.334,0.198,0.127,10
0.367,0.201,0.127,10
0.4,0.205,0.127,10
0.434,0.21,0.127,10
0.457,0.215,0.127,10
0.5,0.222,0.127,10
0.534,0.23,0.127,10
