time,position,experiment,velocity,acceleration
0.0,0.006,1,0.16042780748663105,5.643296220421362
0.0187,0.009000000000000001,1,0.2659574468085105,11.453509343158649
0.0375,0.013999999999999999,1,0.4812834224598931,8.396494646017791
0.0562,0.023,1,0.6382978723404258,8.488003621548204
0.075,0.035,1,0.797872340425532,14.449275327234467
0.0938,0.05,1,1.06951871657754,7.149189281935382
0.1125,0.07,1,1.2032085561497317,11.03561026392387
0.1312,0.0925,1,1.4095744680851081,7.07333635129007
0.15,0.11900000000000001,1,1.5425531914893613,11.816632492743635
0.1688,0.14800000000000002,1,1.7647058823529418,
0.1875,0.18100000000000002,1,,
0.001,0.006,2,0.15957446808510642,7.156552073070059
0.0198,0.009000000000000001,2,0.29411764705882354,11.29419796135544
0.0385,0.0145,2,0.5053191489361702,7.254897926082657
0.0573,0.024,2,0.6417112299465242,11.195326194690372
0.076,0.036000000000000004,2,0.8510638297872342,5.931011443220835
0.0948,0.052000000000000005,2,0.9625668449197858,16.792989292035557
0.1135,0.07,2,1.276595744680851,6.052052493082526
0.1323,0.094,2,1.3903743315508024,10.982371620334792
0.151,0.12,2,1.595744680851063,8.987297952227594
0.1698,0.15,2,1.7647058823529418,
0.1885,0.183,2,,
0.0021,0.006,3,0.18716577540106952,5.635690699908668
0.0208,0.0095,3,0.2925531914893616,12.314413810299634
0.0396,0.015,3,0.5240641711229947,5.255414674273796
0.0583,0.0248,3,0.6223404255319147,13.830452959816816
0.0771,0.0365,3,0.8823529411764709,8.282411838327302
0.0958,0.053,3,1.0372340425531914,8.828431574284092
0.1146,0.0725,3,1.2032085561497323,9.6133779280493
0.1333,0.095,3,1.3829787234042543,14.615706770794313
0.1521,0.121,3,1.6577540106951876,
0.1708,0.152,3,,
0.0031,0.006,4,0.10638297872340426,11.408118949460517
0.0219,0.008,4,0.320855614973262,11.286592440842744
0.0406,0.013999999999999999,4,0.5319148936170213,5.840230655824622
0.0594,0.024,4,0.6417112299465242,14.039790866439132
0.0781,0.036000000000000004,4,0.904255319148936,7.3683739103279695
0.0969,0.053,4,1.0427807486631018,9.659011051125551
0.1156,0.0725,4,1.2234042553191495,11.725851705347214
0.1344,0.0955,4,1.4438502673796771,9.544928243435235
0.1531,0.1225,4,1.6223404255319163,
0.1719,0.153,4,,
0.0042,0.006,5,0.10695187165775401,12.769668940818708
0.0229,0.008,5,0.34574468085106386,11.476204540007698
0.0417,0.0145,5,0.5614973262032086,2.6847487409821134
0.0604,0.025,5,0.6117021276595741,17.240784539668837
0.0792,0.0365,5,0.9358288770053483,8.267200797301868
0.0979,0.054000000000000006,5,1.0904255319148932,4.576864697893703
0.1167,0.0745,5,1.1764705882352948,18.154377463808277
0.1354,0.0965,5,1.5159574468085095,4.697905747755373
0.1542,0.125,5,1.6042780748663106,
0.1729,0.155,5,,
