time,position,experiment
0,0.006,1
0.0187,0.009,1
0.0375,0.014,1
0.0562,0.023,1
0.075,0.035,1
0.0938,0.05,1
0.1125,0.07,1
0.1312,0.0925,1
0.15,0.119,1
0.1688,0.148,1
0.1875,0.181,1
0.001,0.006,2
0.0198,0.009,2
0.0385,0.0145,2
0.0573,0.024,2
0.076,0.036,2
0.0948,0.052,2
0.1135,0.07,2
0.1323,0.094,2
0.151,0.12,2
0.1698,0.15,2
0.1885,0.183,2
0.0021,0.006,3
0.0208,0.0095,3
0.0396,0.015,3
0.0583,0.0248,3
0.0771,0.0365,3
0.0958,0.053,3
0.1146,0.0725,3
0.1333,0.095,3
0.1521,0.121,3
0.1708,0.152,3
0.0031,0.006,4
0.0219,0.008,4
0.0406,0.014,4
0.0594,0.024,4
0.0781,0.036,4
0.0969,0.053,4
0.1156,0.0725,4
0.1344,0.0955,4
0.1531,0.1225,4
0.1719,0.153,4
0.0042,0.006,5
0.0229,0.008,5
0.0417,0.0145,5
0.0604,0.025,5
0.0792,0.0365,5
0.0979,0.054,5
0.1167,0.0745,5
0.1354,0.0965,5
0.1542,0.125,5
0.1729,0.155,5
