time,angle,experiment,velocity,acceleration
0.0021,261.0,1,11.64483260553146,295.9521336319488
0.0708,261.8,1,31.976744186046346,169.93282099848844
0.1396,264.0,1,43.66812227074235,104.86129188520323
0.2083,267.0,1,50.872093023255815,106.86148262210291
0.2771,270.5,1,58.224163027656495,-318.58739047061033
0.3458,274.5,1,36.33720930232557,-168.48750022633317
0.4146,277.0,1,24.745269286753842,-212.09389639159903
0.4833,278.7,1,10.174418604650993,-444.08249512108176
0.5521,279.4,1,-20.37845705967944,-232.29624807345212
0.6208,278.0,1,-36.3372093023256,-106.55396756419727
0.6896,275.5,1,-43.668122270742366,-316.43165172407146
0.7583,272.5,1,-65.40697674418607,315.9717219977294
0.8271,268.0,1,-43.668122270742295,212.4942478730975
0.8958,265.0,1,-29.069767441860478,105.17014980362403
0.9646,263.0,1,-21.834061135371147,360.13155574318773
1.0333,261.5,1,2.9069767441858825,127.00371891490676
1.1021,261.7,1,11.644832605531464,295.9521336319491
1.1708,262.5,1,31.97674418604636,339.18910886958554
1.2396,264.7,1,55.312954876273835,-64.64136612835517
1.3083,268.5,1,50.872093023255836,-104.7088772167656
1.3771,272.0,1,43.668122270742366,-106.70906795366479
1.4458,275.0,1,36.3372093023256,-316.58675211353903
1.5146,277.5,1,14.556040756914124,-254.1923944847163
1.5833,278.5,1,-2.9069767441858825,-338.5740787537737
1.6521,278.3,1,-26.200873362445503,64.02544077219987
1.7208,276.5,1,-21.80232558139536,-529.3871721840284
1.7896,275.0,1,-58.224163027656495,107.01703063174179
1.8583,271.0,1,-50.872093023255836,2220.412475605447
1.9271,267.5,1,101.89228529839886,-1906.2889772963517
1.9958,274.5,1,-29.069767441860478,210.0273895483258
2.0646,272.5,1,-14.619883040935669,
2.133,271.5,1,,
0.0062,261.0,2,14.534883720930232,317.6630548162074
0.075,262.0,2,36.3901018922853,105.01527322424154
0.1437,264.5,2,43.604651162790695,106.7077250931499
0.2125,267.5,2,50.94614264919941,-1.0778693732688935
0.2812,271.0,2,50.872093023255836,-105.63142239048194
0.35,274.5,2,43.60465116279068,-422.2181745040196
0.4188,277.5,2,14.556040756914124,-169.5026580135585
0.4875,278.5,2,2.911208151382657,-190.47491639059172
0.5562,278.7,2,-10.174418604651002,-381.0419082504988
0.625,278.0,2,-36.39010189228531,-105.01527322424178
0.6937,275.5,2,-43.60465116279072,-212.49290501258264
0.7625,272.5,2,-58.224163027656395,107.01703063174017
0.8312,268.5,2,-50.872093023255836,211.26284478096287
0.9,265.0,2,-36.3372093023256,316.5867521135393
0.9688,262.5,2,-14.556040756914099,105.93916125847201
1.0375,261.5,2,-7.278020378457062,423.29470101677475
1.1062,261.0,2,21.80232558139536,212.03163242572612
1.175,262.5,2,36.39010189228531,316.5856330631099
1.2437,265.0,2,58.139534883720955,-210.34029960724703
1.3125,269.0,2,43.668122270742366,-106.70906795366479
1.3812,272.0,2,36.3372093023256,105.63142239048143
1.45,274.5,2,43.60465116279072,-422.21817450402045
1.5188,277.5,2,14.556040756914124,-190.69049026524576
1.5875,278.5,2,1.4556040756917432,-359.70040799389204
1.6562,278.6,2,-23.255813953488637,-295.76798269334336
1.725,277.0,2,-43.60465116279072,-0.9225451737158322
1.7938,274.0,2,-43.668122270742366,-105.93916125847258
1.8625,271.0,2,-50.94614264919943,106.86304929270328
1.9312,267.5,2,-43.60465116279072,211.26284478096287
2.0,264.5,2,-29.069767441860478,105.1701498036245
2.0688,262.5,2,-21.834061135371115,
2.1375,261.0,2,,
0.0104,261.0,3,14.534883720930232,317.6630548162074
0.0792,262.0,3,36.3901018922853,105.01527322424154
0.1479,264.5,3,43.604651162790695,106.70772509315022
0.2167,267.5,3,50.94614264919943,104.70731054616415
0.2854,271.0,3,58.139534883720906,-316.12547952668007
0.3542,275.0,3,36.39010189228531,-212.34026653406073
0.4229,277.5,3,21.80232558139534,-380.36537512310656
0.4917,279.0,3,-4.366812227074402,-613.4616547292898
0.5604,278.7,3,-46.5116279069766,570.2559233796446
0.6292,275.5,3,-7.278020378457062,-528.7719182581309
0.6979,275.0,3,-43.604651162790645,2008.9958732955274
0.7667,272.0,3,94.6142649199418,-2117.7053557961817
0.8354,278.5,3,-50.872093023255836,210.49405713619961
0.9042,275.0,3,-36.39010189228531,-1797.578151935183
0.9729,272.5,3,-159.88372093023236,2218.1061126711497
1.0417,261.5,3,-7.278020378457062,529.0798809362088
1.1104,261.0,3,29.069767441860478,106.40021003524467
1.1792,263.0,3,36.39010189228531,2220.718871612923
1.2479,265.5,3,188.9534883720931,-4121.624321105161
1.3167,278.5,3,-94.6142649199418,2224.722386427923
1.3854,272.0,3,58.224163027656495,-635.9429302289121
1.4541,276.0,3,14.534883720930239,211.26284478096287
1.5229,277.0,3,29.069767441860478,-634.0960494007932
1.5917,279.0,3,-14.556040756914076,-35.67339103601691
1.6604,278.0,3,-17.006802721088444,-251.0101707704147
1.7192,277.0,3,-31.76620076238882,-242.768643721309
1.7979,274.5,3,-50.872093023255836,-106.86148262210264
1.8667,271.0,3,-58.224163027656495,212.80221055117588
1.9354,267.0,3,-43.60465116279072,316.43299458458733
2.0042,264.0,3,-21.834061135371115,0.4619440171143671
2.0729,262.5,3,-21.80232558139536,
2.1417,261.0,3,,
0.0146,260.6,4,18.922852983987696,274.64111630904273
0.0833,261.9,4,37.79069767441893,0.7995391505541338
0.1521,264.5,4,37.845705967977054,274.24076482751826
0.2208,267.1,4,56.68604651162755,-83.42883520971104
0.2896,271.0,4,50.94614264919943,-149.1771212604745
0.3583,274.5,4,40.697674418604834,-337.65153358005927
0.4271,277.3,4,17.467248908296767,-211.93991505256005
0.4958,278.5,4,2.9069767441858825,-190.35182084339547
0.5646,278.7,4,-10.18922852983972,-380.61107383531123
0.6333,278.0,4,-36.3372093023256,-106.55396756419623
